;source;search;name;link;compensation_min;compensation_max;compensation_currency
0;https://hh.ru;Data science;Data инженер / Data engineer;https://hh.ru/vacancy/42647077?query=Data%20science;;;
1;https://hh.ru;Data science;Специалист по углубленной аналитике данных (Data scientist);https://hh.ru/vacancy/41421231?query=Data%20science;;;
2;https://hh.ru;Data science;Principal Research Scientist;https://hh.ru/vacancy/41540865?query=Data%20science;;;
3;https://hh.ru;Data science;Senior Business Analyst;https://hh.ru/vacancy/42149695?query=Data%20science;;;
4;https://hh.ru;Data science;Python developer;https://hh.ru/vacancy/40520323?query=Data%20science;;;
5;https://hh.ru;Data science;Специалист Computer Vision (Data Scientist) - middle/senior;https://hh.ru/vacancy/42947110?query=Data%20science;130000;300000;руб.
6;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42926388?query=Data%20science;;180000;руб.
7;https://hh.ru;Data science;Data Scientist (Payments, anti-fraud, South-Eastern Europe);https://hh.ru/vacancy/42968720?query=Data%20science;3500;4000;USD
8;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42941105?query=Data%20science;;3000;USD
9;https://hh.ru;Data science;Data Science Director/Директор отдела прогнозной аналитики;https://hh.ru/vacancy/42929471?query=Data%20science;;;
10;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42917411?query=Data%20science;;;
11;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42967186?query=Data%20science;;;
12;https://hh.ru;Data science;Middle data scientist;https://hh.ru/vacancy/42965194?query=Data%20science;;;
13;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42917412?query=Data%20science;;;
14;https://hh.ru;Data science;Аналитик/Data Scientist (в отдел аудита);https://hh.ru/vacancy/43003708?query=Data%20science;;;
15;https://hh.ru;Data science;Junior Data Scientist;https://hh.ru/vacancy/42936160?query=Data%20science;;;
16;https://hh.ru;Data science;Python Developer / Data Scientist;https://hh.ru/vacancy/42990902?query=Data%20science;;;
17;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42917413?query=Data%20science;;;
18;https://hh.ru;Data science;Lead Data Scientist;https://hh.ru/vacancy/42972063?query=Data%20science;;;
19;https://hh.ru;Data science;Machine Learning/ Big Data Engineer;https://hh.ru/vacancy/42899546?query=Data%20science;300000;;руб.
20;https://hh.ru;Data science;Lead Data Scientist;https://hh.ru/vacancy/42972062?query=Data%20science;;;
21;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42944518?query=Data%20science;;;
22;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42979526?query=Data%20science;;;
23;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42993348?query=Data%20science;;;
24;https://hh.ru;Data science;Computer Vision инженер;https://hh.ru/vacancy/42929541?query=Data%20science;100000;;руб.
25;https://hh.ru;Data science;Преподаватель по Data Science;https://hh.ru/vacancy/43009463?query=Data%20science;;;
26;https://hh.ru;Data science;Data Scientist Блока `Сеть продаж`(Руководитель направления по исследованию данных);https://hh.ru/vacancy/42915239?query=Data%20science;;;
27;https://hh.ru;Data science;Data analyst - QA/Data quality (Python Middle/ Senior);https://hh.ru/vacancy/42997059?query=Data%20science;;;
28;https://hh.ru;Data science;Data Science Project Manager;https://hh.ru/vacancy/42920668?query=Data%20science;;;
29;https://hh.ru;Data science;Data Scientist / Machine Learning Engineer (на Кипр);https://hh.ru/vacancy/42934086?query=Data%20science;;;
30;https://hh.ru;Data science;Data Manager;https://hh.ru/vacancy/42992834?query=Data%20science;;;
31;https://hh.ru;Data science;Data Analyst;https://hh.ru/vacancy/42948909?query=Data%20science;;;
32;https://hh.ru;Data science;Senior data science;https://hh.ru/vacancy/42964530?query=Data%20science;;;
33;https://hh.ru;Data science;Аналитик / Data scientist;https://hh.ru/vacancy/42929375?query=Data%20science;;;
34;https://hh.ru;Data science;Старший quant-исследователь / Senior Quantitative Researcher;https://hh.ru/vacancy/42995484?query=Data%20science;150000;300000;руб.
35;https://hh.ru;Data science;Аналитик данных (Data Science);https://hh.ru/vacancy/42921777?query=Data%20science;;;
36;https://hh.ru;Data science;Team Lead Data Science;https://hh.ru/vacancy/42936131?query=Data%20science;;;
37;https://hh.ru;Data science;Senior data engineer;https://hh.ru/vacancy/42992573?query=Data%20science;;;
38;https://hh.ru;Data science;Senior Data scientist (Кампании продаж);https://hh.ru/vacancy/42984130?query=Data%20science;;;
39;https://hh.ru;Data science;Python Developer;https://hh.ru/vacancy/42968833?query=Data%20science;;;
40;https://hh.ru;Data science;Data Engineer / Data Scientist;https://hh.ru/vacancy/42964210?query=Data%20science;;;
41;https://hh.ru;Data science;Старший специалист\Full Stack Developer в Команду Математического моделирования (Data Science);https://hh.ru/vacancy/42976999?query=Data%20science;;;
42;https://hh.ru;Data science;Cloud Data Scientist (remote);https://hh.ru/vacancy/42934775?query=Data%20science;200000;;руб.
43;https://hh.ru;Data science;Data Scientist (Python + R);https://hh.ru/vacancy/42949998?query=Data%20science;;;
44;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42905242?query=Data%20science;;;
45;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42936157?query=Data%20science;;;
46;https://hh.ru;Data science;Математик;https://hh.ru/vacancy/42992505?query=Data%20science;;;
47;https://hh.ru;Data science;Data Quality Engineer;https://hh.ru/vacancy/42960119?query=Data%20science;;;
48;https://hh.ru;Data science;Ведущий бизнес-аналитик по проектам Data Science;https://hh.ru/vacancy/42864439?query=Data%20science;;;
49;https://hh.ru;Data science;Data Scientist в команду CRM;https://hh.ru/vacancy/42869180?query=Data%20science;;;
50;https://hh.ru;Data science;Data scientist;https://hh.ru/vacancy/42497278?query=Data%20science;;;
51;https://hh.ru;Data science;Computer Vision инженер;https://hh.ru/vacancy/42929541?query=Data%20science;100000;;руб.
52;https://hh.ru;Data science;Преподаватель по Data Science;https://hh.ru/vacancy/43009463?query=Data%20science;;;
53;https://hh.ru;Data science;Data Scientist Блока `Сеть продаж`(Руководитель направления по исследованию данных);https://hh.ru/vacancy/42915239?query=Data%20science;;;
54;https://hh.ru;Data science;Data scientist;https://hh.ru/vacancy/42555417?query=Data%20science;;;
55;https://hh.ru;Data science;Data analyst - QA/Data quality (Python Middle/ Senior);https://hh.ru/vacancy/42997059?query=Data%20science;;;
56;https://hh.ru;Data science;Data Science Project Manager;https://hh.ru/vacancy/42920668?query=Data%20science;;;
57;https://hh.ru;Data science;Project manager/ CJE (Customer journey expert) в команду Smart антифрод (Data Science);https://hh.ru/vacancy/42701944?query=Data%20science;;;
58;https://hh.ru;Data science;Data Engineer (Удаленно);https://hh.ru/vacancy/42629247?query=Data%20science;;;
